INCIDENT_DATE,STATE_NAME,PUB_AGENCY_NAME,MAIN_GROUP,BIAS_DESC,OFFENDER_RACE,OFFENSE_NAME,TOTAL_VICTIMS
05-JUL-18,Alaska*,Anchorage,Race,Anti-Black or African American,Unknown,Intimidation,2
08-MAR-18,Alaska*,Fairbanks,Race,Anti-White,American Indian or Alaska Native,Simple Assault,1
04-JUN-18,Alaska*,Fairbanks,Disability,Anti-Mental Disability,White,Aggravated Assault,1
21-AUG-18,Alaska*,Fairbanks,Race,Anti-White,American Indian or Alaska Native,Robbery,1
18-MAY-18,Alaska*,Kotzebue,Race,Anti-Black or African American,American Indian or Alaska Native,Aggravated Assault,1
05-MAR-18,Alabama*,Federal Bureau of Investigation: Birmingham,Race,Anti-Black or African American,White,Intimidation,1
10-MAY-18,Alabama*,Federal Bureau of Investigation: Mobile,Race,Anti-Black or African American,White,Intimidation,4
23-APR-18,Arkansas**,Rogers,Race,Anti-Hispanic or Latino,Unknown,Simple Assault,1
26-NOV-18,Arkansas**,Faulkner,Race,Anti-Black or African American,Unknown,All Other Larceny,1
18-MAR-18,Arkansas**,Hot Springs,Race,Anti-Hispanic or Latino,Unknown,Burglary/Breaking & Entering;Destruction/Damage/Vandalism of Property,1
28-OCT-18,Arkansas**,Paragould,Race,Anti-Black or African American,Unknown,Intimidation,1
08-NOV-18,Arkansas**,Newport,Race,Anti-White,White,Destruction/Damage/Vandalism of Property,1
01-DEC-18,Arkansas**,Logan,Gender Identity,Anti-Gender Non-Conforming,White,Intimidation,1
14-JUN-18,Arkansas**,Lonoke,Race,Anti-White,White,Simple Assault,1
25-JUL-18,Arkansas**,Pulaski,Race,Anti-White,Unknown,All Other Larceny,1
10-OCT-18,Arkansas**,Sherwood,Race,Anti-Black or African American,Unknown,Destruction/Damage/Vandalism of Property,1
31-JAN-18,Arkansas**,Benton,Race,Anti-Black or African American,White,Aggravated Assault,2
22-MAY-18,Arkansas**,Benton,Race,Anti-Black or African American,White,Intimidation,1
03-MAR-18,Arkansas**,Fort Smith,Sexual Orientation,Anti-Queer,Black or African American,Destruction/Damage/Vandalism of Property,1
06-MAY-18,Arkansas**,Fort Smith,Race,Anti-Black or African American,White,Intimidation,1
27-SEP-18,Arkansas**,Fort Smith,Race,Anti-White,Unknown,Intimidation,1
24-JAN-18,Arkansas**,Fort Smith,Race,Anti-Black or African American,White,Burglary/Breaking & Entering,1
04-MAY-18,Arkansas**,Sevier,Race,Anti-Black or African American,White,Aggravated Assault,1
20-JUL-18,Arizona,St. Johns,Religion,Anti-Catholic,Unknown,Destruction/Damage/Vandalism of Property;Intimidation,2
17-MAY-18,Arizona,Flagstaff,Sexual Orientation,Anti-Queer,American Indian or Alaska Native,Simple Assault,1
29-JUN-18,Arizona,Flagstaff,Race,Anti-Black or African American,Unknown,Simple Assault,1
27-FEB-18,Arizona,Page,Race,Anti-Black or African American,Unknown,Intimidation,1
21-JUL-18,Arizona,Page,Sexual Orientation,Anti-Queer,American Indian or Alaska Native,Simple Assault,1
01-OCT-18,Arizona,Maricopa,Race,Anti-Black or African American,Unknown,Simple Assault,1
28-MAY-18,Arizona,Avondale,Race,Anti-Black or African American,Unknown,Destruction/Damage/Vandalism of Property,1
20-MAY-18,Arizona,Glendale,Race,Anti-Black or African American,White,Simple Assault,1
22-FEB-18,Arizona,Glendale,Sexual Orientation,Anti-Lesbian (Female),Unknown,Intimidation,1
15-MAR-18,Arizona,Glendale,Race,Anti-Black or African American,Unknown,Aggravated Assault,1
08-MAR-18,Arizona,Glendale,Race,Anti-Black or African American,White,Aggravated Assault,1
04-SEP-18,Arizona,Glendale,Race,Anti-Black or African American,White,Aggravated Assault,8
19-OCT-18,Arizona,Glendale,Race,Anti-Black or African American,Unknown,Destruction/Damage/Vandalism of Property,1
